,WorkPlace,EdLevel,YearsCodePro,YearsCode,Employment,WorkPosition,DevType,Age,OrgSize,Salary
1,กรุงเทพมหานคร (Bangkok),ปริญญาเอก (Doctoral Degree or PhD),4.0,15.0,full-time,Data,"Data scientist or machine learning specialist, Scientist",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",1500000
2,กรุงเทพมหานคร (Bangkok),ปริญญาเอก (Doctoral Degree or PhD),0.0,7.0,full-time,Data,"Data scientist or machine learning specialist, Academic researcher, Student",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),240000
3,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),6.0,2.0,full-time,Data,Data engineer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",756000
4,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,5.0,full-time,Web dev,"Front-end developer, QA or test developer, Designer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),400000
5,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,4.0,full-time,Web dev,Full-stack developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),264000
6,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,3.0,full-time,Data,Data scientist or machine learning specialist,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",276000
7,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),1.0,3.0,full-time,Web dev,Front-end developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",540000
8,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.5,0.5,full-time,Data,"Data scientist or machine learning specialist, Data or business analyst",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),360000
9,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Data,"Back-end developer, Front-end developer, Data scientist or machine learning specialist, QA or test developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",768000
10,ประจวบคีรีขันธ์ (Prachuap Kiri Kan),มัธยมศึกษาตอนปลาย (High School),1.0,5.0,full-time,Data,"Data scientist or machine learning specialist, Scientist, Academic researcher, Student",18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",919000
11,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,4.0,full-time,Web dev,Full-stack developer,18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",360000
12,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.5,2.5,full-time,Web dev,Full-stack developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",360000
13,นนทบุรี (Nonthaburi),ปริญญาโท (Master's Degree),5.0,5.0,full-time,Web dev,"Back-end developer, Full-stack developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",840000
14,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.2,4.2,full-time,Admin,"Back-end developer, Database administrator",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",300000
15,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,1.0,full-time,Manager,"QA or test developer, Product manager, Student",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",600000
16,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.9,0.0,full-time,Bussiness,Marketing or sales professional,25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",960000
17,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),2.0,5.0,part-time,Web dev,"Front-end developer, Designer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),333000
18,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),7.0,8.0,full-time,Data,Data engineer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1560000
19,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,2.0,full-time,Web dev,"Back-end developer, Student",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",420000
20,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,6.0,full-time,Admin,"Data scientist or machine learning specialist, Database administrator, Engineering manager, System administrator, Student",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",264000
21,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Web dev,"Back-end developer, Front-end developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",414000
22,นครราชสีมา (Nakhon Ratchasima),ปริญญาโท (Master's Degree),10.0,20.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, Embedded applications or devices developer, Data scientist or machine learning specialist, Mobile developer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",878400
23,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.5,3.2,full-time,Web dev,Full-stack developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),612000
24,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Web dev,"Front-end developer, Full-stack developer, Student",18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",720000
25,น่าน (Nan),ปวส. (High Vocational Certificate),1.0,6.0,full-time,Web dev,"Full-stack developer, Database administrator, Data or business analyst, Designer, System administrator, Game or graphics developer",18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),720000
26,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,6.0,full-time,Web dev,Front-end developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),280000
27,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.5,2.0,full-time,Data,Data scientist or machine learning specialist,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),216000
28,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.5,0.5,full-time,Service,QA or test developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",250000
29,เชียงใหม่ (Chiang Mai),ปริญญาตรี (Bachelor's Degree),3.0,0.0,full-time,Admin,System administrator,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),244000
30,สมุทรปราการ (Samut Prakan),ปริญญาตรี (Bachelor's Degree),2.0,4.0,full-time,Web dev,"Back-end developer, Full-stack developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",600000
31,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Web dev,"Front-end developer, Desktop or enterprise applications developer, System administrator",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",300000
32,ปทุมธานี (Pathum Thani),มัธยมศึกษาตอนปลาย (High School),3.0,4.0,freelance,Mobile dev,"DevOps specialist, Mobile developer, Game or graphics developer",18-24 ปี,มีคนเดียว ทำทุกตำแหน่ง (Freelancer/Just me),440000
33,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.8,2.0,full-time,Bussiness,Data or business analyst,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",540000
34,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,5.0,full-time,Admin,System administrator,18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",360000
35,สงขลา (Songkla),ปริญญาโท (Master's Degree),1.0,3.0,full-time,Data,"Data scientist or machine learning specialist, Data or business analyst, Data engineer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),250000
36,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),1.5,2.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),600000
37,สงขลา (Songkla),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Admin,"Full-stack developer, Database administrator, System administrator",25-34 ปี,มีคนเดียว ทำทุกตำแหน่ง (Freelancer/Just me),240000
38,เชียงใหม่ (Chiang Mai),ปริญญาโท (Master's Degree),14.0,14.0,full-time,Executive,"Academic researcher, Product manager, Senior Executive (C-Suite/VP/etc.)",45-54 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",3800000
39,เชียงใหม่ (Chiang Mai),ปริญญาตรี (Bachelor's Degree),2.0,7.0,full-time,Web dev,"Back-end developer, Data scientist or machine learning specialist",18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),300000
40,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.8,1.8,full-time,Bussiness,Data or business analyst,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",384000
